Player,Position,Team,Rebounds,Assists,Steals,Blocks,Turnovers,Fantasy_Points
Darius Garland,PG,CLE,0,0,0,0,0,174.3
Jusuf Nurkic,C,PHO,0,0,0,0,0,42.9
De'Aaron Fox,PG,SAC,0,0,0,0,0,186.8
Scottie Barnes,SF,TOR,0,0,0,0,0,65.9
Tim Hardaway Jr.,SG,DET,0,0,0,0,0,90.2
Bennedict Mathurin,SF,IND,0,0,0,0,0,92.3
Gary Payton II,SG,GSW,0,0,0,0,0,16.4
Nick Richards,C,CHA,0,0,0,0,0,75.4
Marcus Smart,SG,MEM,0,0,0,0,0,23.5
Rudy Gobert,C,MIN,0,0,0,0,0,80.0
Chris Boucher,PF,TOR,0,0,0,0,0,62.2
Rui Hachimura,PF,LAL,0,0,0,0,0,19.3
Anfernee Simons,SG,POR,0,0,0,0,0,101.1
Caris LeVert,SG,CLE,0,0,0,0,0,111.0
Deandre Ayton,C,POR,0,0,0,0,0,121.9
Ivica Zubac,C,LAC,0,0,0,0,0,168.8
Collin Sexton,SG,UTA,0,0,0,0,0,111.1
Zach LaVine,SG,CHI,0,0,0,0,0,35.4
Shai Gilgeous-Alexander,PG,OKC,0,0,0,0,0,172.6
Ochai Agbaji,SF,TOR,0,0,0,0,0,144.5
Aaron Wiggins,SG,OKC,0,0,0,0,0,69.8
Evan Mobley,PF,CLE,0,0,0,0,0,182.3
Dalano Banton,PG,POR,0,0,0,0,0,59.1
Jimmy Butler,SF,MIA,0,0,0,0,0,82.5
Ben Simmons,PG,BKN,0,0,0,0,0,30.2
Brandon Boston,SG,NOP,0,0,0,0,0,81.6
Onyeka Okongwu,C,ATL,0,0,0,0,0,57.2
Davion Mitchell,PG,TOR,0,0,0,0,0,70.7
Keldon Johnson,SF,SAS,0,0,0,0,0,122.8
Cason Wallace,SG,OKC,0,0,0,0,0,25.7
Julius Randle,PF,MIN,0,0,0,0,0,147.2
Jalen Brunson,PG,NYK,0,0,0,0,0,177.8
LeBron James,SF,LAL,0,0,0,0,0,259.9
LaMelo Ball,PG,CHA,0,0,0,0,0,201.8
Nickeil Alexander-Walker,SG,MIN,0,0,0,0,0,39.3
Brook Lopez,C,MIL,0,0,0,0,0,90.0
Pascal Siakam,PF,IND,0,0,0,0,0,157.4
Derrick White,SG,BOS,0,0,0,0,0,180.2
Caleb Martin,SG,PHL,0,0,0,0,0,28.5
Daniel Gafford,C,DAL,0,0,0,0,0,128.5
Jaren Jackson Jr.,C,MEM,0,0,0,0,0,179.8
Kelly Oubre Jr.,SF,PHL,0,0,0,0,0,86.4
Clint Capela,C,ATL,0,0,0,0,0,73.0
Trae Young,PG,ATL,0,0,0,0,0,165.2
Ja Morant,PG,MEM,0,0,0,0,0,82.8
Walker Kessler,C,UTA,0,0,0,0,0,84.8
Dillon Brooks,SF,HOU,0,0,0,0,0,70.6
Carlton Carrington,PG,WAS,0,0,0,0,0,93.5
James Harden,PG,LAC,0,0,0,0,0,172.6
Jrue Holiday,PG,BOS,0,0,0,0,0,88.6
Dennis Schroder,PG,GSW,0,0,0,0,0,113.9
Draymond Green,PF,GSW,0,0,0,0,0,115.5
Tyrese Haliburton,PG,IND,0,0,0,0,0,197.2
Cade Cunningham,PG,DET,0,0,0,0,0,213.5
Jalen Suggs,PG,ORL,0,0,0,0,0,107.0
Zaccharie Risacher,SF,ATL,0,0,0,0,0,112.8
Shaedon Sharpe,SG,POR,0,0,0,0,0,33.5
Grayson Allen,SG,PHO,0,0,0,0,0,28.6
DeMar DeRozan,SF,SAC,0,0,0,0,0,171.8
Kyrie Irving,PG,DAL,0,0,0,0,0,229.1
Tari Eason,SF,HOU,0,0,0,0,0,45.8
Kyshawn George,SG,WAS,0,0,0,0,0,31.9
Dorian Finney-Smith,PF,LAL,0,0,0,0,0,72.5
Alexandre Sarr,C,WAS,0,0,0,0,0,83.3
Nikola Vucevic,C,CHI,0,0,0,0,0,190.4
Zach Edey,C,MEM,0,0,0,0,0,148.1
Jaden McDaniels,SF,MIN,0,0,0,0,0,49.5
Derrick Jones Jr.,SF,LAC,0,0,0,0,0,7.2
Alperen Sengun,C,HOU,0,0,0,0,0,185.1
Tyus Jones,PG,PHO,0,0,0,0,0,111.4
Russell Westbrook,PG,DEN,0,0,0,0,0,143.2
Jonas Valanciunas,C,WAS,0,0,0,0,0,102.0
Donovan Clingan,C,POR,0,0,0,0,0,11.8
Jakob Poeltl,C,TOR,0,0,0,0,0,149.2
Jake LaRavia,PF,MEM,0,0,0,0,0,26.5
Royce O'Neale,SF,PHO,0,0,0,0,0,121.7
Michael Porter Jr.,SF,DEN,0,0,0,0,0,184.6
Kevin Huerter,SG,SAC,0,0,0,0,0,78.1
Jaylen Brown,SF,BOS,0,0,0,0,0,24.5
Luke Kornet,C,BOS,0,0,0,0,0,7.6
P.J. Washington,PF,DAL,0,0,0,0,0,25.2
Luguentz Dort,SG,OKC,0,0,0,0,0,43.7
Josh Giddey,SG,CHI,0,0,0,0,0,122.4
RJ Barrett,SF,TOR,0,0,0,0,0,129.9
Immanuel Quickley,PG,TOR,0,0,0,0,0,56.3
Christian Braun,SG,DEN,0,0,0,0,0,142.8
David Roddy,PF,ATL,0,0,0,0,0,27.6
Keyonte George,PG,UTA,0,0,0,0,0,75.8
Andre Drummond,C,PHL,0,0,0,0,0,107.4
Toumani Camara,PF,POR,0,0,0,0,0,64.8
Norman Powell,SG,LAC,0,0,0,0,0,188.4
Paul George,SF,PHL,0,0,0,0,0,130.8
Jabari Smith Jr.,PF,HOU,0,0,0,0,0,62.1
Robert Williams III,C,POR,0,0,0,0,0,12.0
Goga Bitadze,C,ORL,0,0,0,0,0,116.1
Caleb Martin,SG,PHL,0,0,0,0,0,55.1
Giannis Antetokounmpo,PF,MIL,0,0,0,0,0,187.2
Tre Mann,PG,CHA,0,0,0,0,0,70.3
Coby White,PG,CHI,0,0,0,0,0,154.3
Brandon Miller,SF,CHA,0,0,0,0,0,159.2
Luka Doncic,PG,DAL,0,0,0,0,0,249.0
Naz Reid,C,MIN,0,0,0,0,0,122.6
Andrew Wiggins,SF,GSW,0,0,0,0,0,100.0
Josh Hart,SF,NYK,0,0,0,0,0,158.2
Jordan Clarkson,SG,UTA,0,0,0,0,0,34.6
Jonathan Kuminga,PF,GSW,0,0,0,0,0,127.5
Kyshawn George,SG,WAS,0,0,0,0,0,42.7
Terry Rozier,PG,MIA,0,0,0,0,0,105.8
Jayson Tatum,PF,BOS,0,0,0,0,0,231.2
Jarrett Allen,C,CLE,0,0,0,0,0,144.8
Payton Pritchard,PG,BOS,0,0,0,0,0,120.6
Karl-Anthony Towns,C,NYK,0,0,0,0,0,225.0
Donte DiVincenzo,SG,MIN,0,0,0,0,0,142.6
Al Horford,C,BOS,0,0,0,0,0,91.3
Jalen Williams,PF,OKC,0,0,0,0,0,196.9
Peyton Watson,SF,DEN,0,0,0,0,0,99.1
Bradley Beal,SF,PHO,0,0,0,0,0,141.8
Corey Kispert,SF,WAS,0,0,0,0,0,5.8
Julian Champagnie,SF,SAS,0,0,0,0,0,73.0
Anthony Edwards,SG,MIN,0,0,0,0,0,208.8
Mike Conley,PG,MIN,0,0,0,0,0,95.1
Jeremy Sochan,PF,SAS,0,0,0,0,0,11.6
Lauri Markkanen,PF,UTA,0,0,0,0,0,68.1
Jaden Ivey,SG,DET,0,0,0,0,0,132.1
Amen Thompson,SF,HOU,0,0,0,0,0,113.4
Stephen Curry,PG,GSW,0,0,0,0,0,199.2
Isaiah Stewart,C,DET,0,0,0,0,0,41.1
Ayo Dosunmu,SG,CHI,0,0,0,0,0,122.5
Deni Avdija,SF,POR,0,0,0,0,0,67.0
Aaron Gordon,PF,DEN,0,0,0,0,0,5.0
Jose Alvarado,PG,NOP,0,0,0,0,0,132.1
Damian Lillard,PG,MIL,0,0,0,0,0,191.7
Jamal Shead,PG,TOR,0,0,0,0,0,11.2
Grant Williams,PF,CHA,0,0,0,0,0,113.6
Julian Strawther,SF,DEN,0,0,0,0,0,55.9
Domantas Sabonis,C,SAC,0,0,0,0,0,205.7
Stephon Castle,PG,SAS,0,0,0,0,0,40.9
Kyle Anderson,SF,GSW,0,0,0,0,0,43.1
OG Anunoby,SF,NYK,0,0,0,0,0,168.4
Brandon Ingram,SF,NOP,0,0,0,0,0,109.5
Trayce Jackson-Davis,PF,GSW,0,0,0,0,0,35.8
Franz Wagner,SF,ORL,0,0,0,0,0,178.7
Tyler Herro,SG,MIA,0,0,0,0,0,189.9
Donovan Mitchell,SG,CLE,0,0,0,0,0,132.8
Jaime Jaquez Jr.,SF,MIA,0,0,0,0,0,20.5
Brandin Podziemski,SG,GSW,0,0,0,0,0,0.7
Bilal Coulibaly,SF,WAS,0,0,0,0,0,95.6
Anthony Davis,C,LAL,0,0,0,0,0,160.9
Cameron Johnson,SF,BKN,0,0,0,0,0,114.2
Gradey Dick,SG,TOR,0,0,0,0,0,115.9
Jalen Green,SG,HOU,0,0,0,0,0,121.6
Austin Reaves,SG,LAL,0,0,0,0,0,172.3
Scotty Pippen Jr.,PG,MEM,0,0,0,0,0,136.3
Klay Thompson,SG,DAL,0,0,0,0,0,94.9
Bam Adebayo,C,MIA,0,0,0,0,0,176.7
Bobby Portis,PF,MIL,0,0,0,0,0,69.6
Devin Vassell,SG,SAS,0,0,0,0,0,30.7
Devin Booker,PG,PHO,0,0,0,0,0,160.3
Zion Williamson,PF,NOP,0,0,0,0,0,49.1
Keegan Murray,PF,SAC,0,0,0,0,0,136.9
Myles Turner,C,IND,0,0,0,0,0,177.9
John Collins,PF,UTA,0,0,0,0,0,116.7
Jamal Murray,PG,DEN,0,0,0,0,0,74.0
Scoot Henderson,PG,POR,0,0,0,0,0,83.5
Nikola Jokic,C,DEN,0,0,0,0,0,341.1
Santi Aldama,PF,MEM,0,0,0,0,0,126.8
Chet Holmgren,C,OKC,0,0,0,0,0,117.1
Buddy Hield,SG,GSW,0,0,0,0,0,104.6
Malik Monk,SG,SAC,0,0,0,0,0,90.0
Tobias Harris,PF,DET,0,0,0,0,0,150.6
Guerschon Yabusele,PF,PHL,0,0,0,0,0,66.6
Jalen Johnson,PF,ATL,0,0,0,0,0,181.2
Miles McBride,PG,NYK,0,0,0,0,0,81.0
Cam Thomas,SG,BKN,0,0,0,0,0,99.4
Harrison Barnes,PF,SAS,0,0,0,0,0,55.2
Kentavious Caldwell-Pope,SG,ORL,0,0,0,0,0,20.5
Tyrese Maxey,PG,PHL,0,0,0,0,0,73.3
D'Angelo Russell,PG,BKN,0,0,0,0,0,106.1
Victor Wembanyama,C,SAS,0,0,0,0,0,226.6
Miles Bridges,SF,CHA,0,0,0,0,0,67.1
Nic Claxton,C,BKN,0,0,0,0,0,90.6
Obi Toppin,PF,IND,0,0,0,0,0,7.0
Jerami Grant,PF,POR,0,0,0,0,0,112.6
Fred VanVleet,PG,HOU,0,0,0,0,0,156.8
Dyson Daniels,SG,ATL,0,0,0,0,0,126.2
Jalen Duren,C,DET,0,0,0,0,0,41.9
Jaylen Wells,SG,MEM,0,0,0,0,0,43.6
Mikal Bridges,SF,NYK,0,0,0,0,0,104.0
Chris Paul,PG,SAS,0,0,0,0,0,104.4
Cody Martin,SG,CHA,0,0,0,0,0,84.5
Kevin Durant,PF,PHO,0,0,0,0,0,172.9
Zach Collins,C,SAS,0,0,0,0,0,56.7
Patrick Williams,PF,CHI,0,0,0,0,0,98.0
Kyle Lowry,PG,PHL,0,0,0,0,0,89.7
Jordan Poole,SG,WAS,0,0,0,0,0,96.9
Darius Garland,PG,CLE,0,0,0,0,0,201.4
Tari Eason,SF,HOU,0,0,0,0,0,39.8
Jusuf Nurkic,C,PHO,0,0,0,0,0,144.0
De'Aaron Fox,PG,SAC,0,0,0,0,0,163.2
Tim Hardaway Jr.,SG,DET,0,0,0,0,0,101.9
Bennedict Mathurin,SF,IND,0,0,0,0,0,182.9
Rudy Gobert,C,MIN,0,0,0,0,0,116.9
Taurean Prince,SF,MIL,0,0,0,0,0,39.0
Tyrese Haliburton,PG,IND,0,0,0,0,0,111.7
Naji Marshall,SF,DAL,0,0,0,0,0,70.6
Cade Cunningham,PG,DET,0,0,0,0,0,230.5
Jalen Suggs,PG,ORL,0,0,0,0,0,96.6
Zaccharie Risacher,SF,ATL,0,0,0,0,0,58.0
Shaedon Sharpe,SG,POR,0,0,0,0,0,137.2
Kyrie Irving,PG,DAL,0,0,0,0,0,124.4
DeMar DeRozan,SF,SAC,0,0,0,0,0,73.1
Cason Wallace,SG,OKC,0,0,0,0,0,63.0
Kyshawn George,SG,WAS,0,0,0,0,0,88.1
Alexandre Sarr,C,WAS,0,0,0,0,0,106.1
Nikola Vucevic,C,CHI,0,0,0,0,0,158.6
Zach Edey,C,MEM,0,0,0,0,0,90.3
Yves Missi,C,NOP,0,0,0,0,0,23.9
Toumani Camara,PF,POR,0,0,0,0,0,24.8
Josh Giddey,SG,CHI,0,0,0,0,0,107.4
RJ Barrett,SF,TOR,0,0,0,0,0,126.6
Christian Braun,SG,DEN,0,0,0,0,0,69.6
Keyonte George,PG,UTA,0,0,0,0,0,101.4
Andre Drummond,C,PHL,0,0,0,0,0,14.3
Paul George,SF,PHL,0,0,0,0,0,100.8
Norman Powell,SG,LAC,0,0,0,0,0,122.2
Jabari Smith Jr.,PF,HOU,0,0,0,0,0,118.4
Marcus Smart,SG,MEM,0,0,0,0,0,28.5
Robert Williams III,C,POR,0,0,0,0,0,95.4
Goga Bitadze,C,ORL,0,0,0,0,0,70.1
Caleb Martin,SG,PHL,0,0,0,0,0,87.3
Giannis Antetokounmpo,PF,MIL,0,0,0,0,0,233.1
Jarace Walker,PF,IND,0,0,0,0,0,20.4
Keon Ellis,SG,SAC,0,0,0,0,0,32.4
Jarrett Allen,C,CLE,0,0,0,0,0,163.4
Payton Pritchard,PG,BOS,0,0,0,0,0,86.4
Karl-Anthony Towns,C,NYK,0,0,0,0,0,200.6
Al Horford,C,BOS,0,0,0,0,0,57.1
Donte DiVincenzo,SG,MIN,0,0,0,0,0,54.3
Jalen Williams,PF,OKC,0,0,0,0,0,232.4
Kris Dunn,PG,LAC,0,0,0,0,0,60.7
Dereck Lively II,C,DAL,0,0,0,0,0,96.8
Peyton Watson,SF,DEN,0,0,0,0,0,54.0
Bradley Beal,SF,PHO,0,0,0,0,0,49.1
Corey Kispert,SF,WAS,0,0,0,0,0,24.2
Anthony Edwards,SG,MIN,0,0,0,0,0,199.1
Toumani Camara,PF,POR,0,0,0,0,0,63.9
Mike Conley,PG,MIN,0,0,0,0,0,27.3
Lauri Markkanen,PF,UTA,0,0,0,0,0,130.9
Ivica Zubac,C,LAC,0,0,0,0,0,136.9
Collin Sexton,SG,UTA,0,0,0,0,0,112.7
Malik Beasley,SG,DET,0,0,0,0,0,137.2
Chris Boucher,PF,TOR,0,0,0,0,0,47.0
Zach LaVine,SG,CHI,0,0,0,0,0,169.9
Shai Gilgeous-Alexander,PG,OKC,0,0,0,0,0,272.7
Ochai Agbaji,SF,TOR,0,0,0,0,0,75.7
Anfernee Simons,SG,POR,0,0,0,0,0,3.7
Aaron Wiggins,SG,OKC,0,0,0,0,0,62.5
Evan Mobley,PF,CLE,0,0,0,0,0,101.8
Dalano Banton,PG,POR,0,0,0,0,0,67.2
Caris LeVert,SG,CLE,0,0,0,0,0,95.9
OG Anunoby,SF,NYK,0,0,0,0,0,173.2
Brandon Ingram,SF,NOP,0,0,0,0,0,201.3
Franz Wagner,SF,ORL,0,0,0,0,0,186.4
Tyler Herro,SG,MIA,0,0,0,0,0,167.4
Donovan Mitchell,SG,CLE,0,0,0,0,0,209.6
Jaime Jaquez Jr.,SF,MIA,0,0,0,0,0,44.1
Brandin Podziemski,SG,GSW,0,0,0,0,0,7.2
Isaiah Joe,SG,OKC,0,0,0,0,0,61.1
Bilal Coulibaly,SF,WAS,0,0,0,0,0,104.0
Anthony Davis,C,LAL,0,0,0,0,0,187.0
Ty Jerome,PG,CLE,0,0,0,0,0,46.4
Cameron Johnson,SF,BKN,0,0,0,0,0,123.5
Cody Martin,SG,CHA,0,0,0,0,0,9.9
Gradey Dick,SG,TOR,0,0,0,0,0,79.9
Jalen Green,SG,HOU,0,0,0,0,0,113.0
Ben Simmons,PG,BKN,0,0,0,0,0,73.7
Brandon Boston,SG,NOP,0,0,0,0,0,134.8
Onyeka Okongwu,C,ATL,0,0,0,0,0,108.0
Davion Mitchell,PG,TOR,0,0,0,0,0,15.8
Keldon Johnson,SF,SAS,0,0,0,0,0,91.6
Julius Randle,PF,MIN,0,0,0,0,0,154.3
Jalen Brunson,PG,NYK,0,0,0,0,0,156.8
Jeremiah Robinson-Earl,PF,NOP,0,0,0,0,0,55.1
LeBron James,SF,LAL,0,0,0,0,0,171.5
Tre Mann,PG,CHA,0,0,0,0,0,19.3
LaMelo Ball,PG,CHA,0,0,0,0,0,162.2
Jaden McDaniels,SF,MIN,0,0,0,0,0,31.1
Nickeil Alexander-Walker,SG,MIN,0,0,0,0,0,78.6
Brook Lopez,C,MIL,0,0,0,0,0,127.6
Pascal Siakam,PF,IND,0,0,0,0,0,112.2
Derrick White,SG,BOS,0,0,0,0,0,114.6
Santi Aldama,PF,MEM,0,0,0,0,0,76.4
Jake LaRavia,PF,MEM,0,0,0,0,0,22.9
Buddy Hield,SG,GSW,0,0,0,0,0,53.5
Rui Hachimura,PF,LAL,0,0,0,0,0,44.4
Tobias Harris,PF,DET,0,0,0,0,0,134.5
Guerschon Yabusele,PF,PHL,0,0,0,0,0,42.9
Jalen Johnson,PF,ATL,0,0,0,0,0,171.8
De'Andre Hunter,SF,ATL,0,0,0,0,0,31.1
Miles McBride,PG,NYK,0,0,0,0,0,37.3
Jay Huff,C,MEM,0,0,0,0,0,29.1
Kentavious Caldwell-Pope,SG,ORL,0,0,0,0,0,34.2
Cam Thomas,SG,BKN,0,0,0,0,0,159.4
Trae Young,PG,ATL,0,0,0,0,0,79.4
Daniel Gafford,C,DAL,0,0,0,0,0,126.5
Dillon Brooks,SF,HOU,0,0,0,0,0,109.6
Carlton Carrington,PG,WAS,0,0,0,0,0,125.0
Jaren Jackson Jr.,C,MEM,0,0,0,0,0,151.8
James Harden,PG,LAC,0,0,0,0,0,184.8
Jrue Holiday,PG,BOS,0,0,0,0,0,65.3
Kelly Oubre Jr.,SF,PHL,0,0,0,0,0,68.2
Draymond Green,PF,GSW,0,0,0,0,0,89.0
Dennis Schroder,PG,GSW,0,0,0,0,0,106.2
Clint Capela,C,ATL,0,0,0,0,0,94.5
Coby White,PG,CHI,0,0,0,0,0,153.7
Zach Collins,C,SAS,0,0,0,0,0,7.7
Patrick Williams,PF,CHI,0,0,0,0,0,127.5
Jordan Poole,SG,WAS,0,0,0,0,0,186.1
Luka Doncic,PG,DAL,0,0,0,0,0,167.7
Darius Garland,PG,CLE,0,0,0,0,0,188.0
Tari Eason,SF,HOU,0,0,0,0,0,130.1
Jusuf Nurkic,C,PHO,0,0,0,0,0,15.4
De'Aaron Fox,PG,SAC,0,0,0,0,0,283.6
Bennedict Mathurin,SF,IND,0,0,0,0,0,99.6
Scoot Henderson,PG,POR,0,0,0,0,0,49.5
Andrew Wiggins,SF,GSW,0,0,0,0,0,48.5
Trey Murphy III,SF,NOP,0,0,0,0,0,78.5
Kyle Filipowski,PF,UTA,0,0,0,0,0,118.4
Rudy Gobert,C,MIN,0,0,0,0,0,126.3
Alperen Sengun,C,HOU,0,0,0,0,0,236.1
Davion Mitchell,PG,TOR,0,0,0,0,0,28.6
Tyus Jones,PG,PHO,0,0,0,0,0,105.7
Russell Westbrook,PG,DEN,0,0,0,0,0,43.4
Jonas Valanciunas,C,WAS,0,0,0,0,0,112.7
Dorian Finney-Smith,PF,LAL,0,0,0,0,0,65.1
Jakob Poeltl,C,TOR,0,0,0,0,0,168.6
Jake LaRavia,PF,MEM,0,0,0,0,0,21.1
Royce O'Neale,SF,PHO,0,0,0,0,0,97.3
Joel Embiid,C,PHL,0,0,0,0,0,23.6
Michael Porter Jr.,SF,DEN,0,0,0,0,0,58.8
Julian Champagnie,SF,SAS,0,0,0,0,0,27.5
Kevin Huerter,SG,SAC,0,0,0,0,0,117.0
Jaylen Brown,SF,BOS,0,0,0,0,0,150.6
Luguentz Dort,SG,OKC,0,0,0,0,0,127.8
Keegan Murray,PF,SAC,0,0,0,0,0,98.6
Myles Turner,C,IND,0,0,0,0,0,117.2
Jared McCain,SG,PHL,0,0,0,0,0,147.2
John Collins,PF,UTA,0,0,0,0,0,197.0
Jamal Murray,PG,DEN,0,0,0,0,0,86.4
Austin Reaves,SG,LAL,0,0,0,0,0,95.4
Scotty Pippen Jr.,PG,MEM,0,0,0,0,0,74.6
Klay Thompson,SG,DAL,0,0,0,0,0,92.5
Bam Adebayo,C,MIA,0,0,0,0,0,159.7
Bobby Portis,PF,MIL,0,0,0,0,0,68.0
Devin Vassell,SG,SAS,0,0,0,0,0,84.8
Devin Booker,PG,PHO,0,0,0,0,0,190.5
Moussa Diabate,PF,CHA,0,0,0,0,0,58.1
Brandon Miller,SF,CHA,0,0,0,0,0,82.9
Kyle Kuzma,PF,WAS,0,0,0,0,0,121.5
Malcolm Brogdon,PG,WAS,0,0,0,0,0,-0.6
Naz Reid,C,MIN,0,0,0,0,0,132.1
Josh Hart,SF,NYK,0,0,0,0,0,173.9
De'Anthony Melton,PG,BKN,0,0,0,0,0,30.8
Jordan Clarkson,SG,UTA,0,0,0,0,0,149.7
Jonathan Kuminga,PF,GSW,0,0,0,0,0,40.8
Terry Rozier,PG,MIA,0,0,0,0,0,53.6
Jayson Tatum,PF,BOS,0,0,0,0,0,171.7
D'Angelo Russell,PG,BKN,0,0,0,0,0,68.0
Desmond Bane,SG,MEM,0,0,0,0,0,38.2
Donovan Clingan,C,POR,0,0,0,0,0,59.9
Victor Wembanyama,C,SAS,0,0,0,0,0,237.8
Miles Bridges,SF,CHA,0,0,0,0,0,56.6
Harrison Barnes,PF,SAS,0,0,0,0,0,25.4
Nic Claxton,C,BKN,0,0,0,0,0,45.3
Fred VanVleet,PG,HOU,0,0,0,0,0,152.8
Jerami Grant,PF,POR,0,0,0,0,0,81.0
Dyson Daniels,SG,ATL,0,0,0,0,0,160.0
Jalen Duren,C,DET,0,0,0,0,0,115.1
Kevin Porter Jr.,SG,LAC,0,0,0,0,0,15.7
Jaylen Wells,SG,MEM,0,0,0,0,0,49.0
Mikal Bridges,SF,NYK,0,0,0,0,0,165.7
Chris Paul,PG,SAS,0,0,0,0,0,151.7
Cody Martin,SG,CHA,0,0,0,0,0,17.1
Derrick Jones Jr.,SF,LAC,0,0,0,0,0,30.6
AJ Green,SG,MIL,0,0,0,0,0,35.4
Jaden Ivey,SG,DET,0,0,0,0,0,127.0
Amen Thompson,SF,HOU,0,0,0,0,0,157.5
Grant Williams,PF,CHA,0,0,0,0,0,88.0
Domantas Sabonis,C,SAC,0,0,0,0,0,147.3
Stephen Curry,PG,GSW,0,0,0,0,0,117.8
Zeke Nnaji,PF,DEN,0,0,0,0,0,2.2
